"","TreeID","Girth_cm","JulianDate"
"1",2,153,114
"2",3,78,116
"3",4,152,112
"4",5,402,114
"5",6,303,114
"6",10,84,114
"7",15,190,114
"8",17,169,114
"9",21,74,120
"10",22,120,120
"11",26,215,114
"12",27,144,114
"13",30,161,112
"14",31,194,112
"15",35,139,114
"16",42,167,112
"17",43,133,114
"18",45,110,120
"19",47,76,120
"20",50,75,114
"21",51,118,112
"22",55,192,122
"23",57,160,112
"24",58,199,110
"25",59,90,118
"26",60,150,112
"27",61,180,112
"28",64,192,118
"29",65,125,113
"30",67,65,115
"31",70,378,109
"32",71,95,119
"33",74,78,113
"34",75,120,109
"35",78,64,113
"36",79,82,113
"37",93,106,123
"38",94,71,119
"39",95,125,113
"40",97,125,113
"41",103,110,119
"42",108,97,113
"43",109,120,115
"44",113,90,115
"45",116,133,113
"46",123,382,113
"47",124,67,119
"48",127,171,115
"49",129,211,109
"50",130,85,113
"51",132,122,109
"52",133,112,113
"53",134,141,109
"54",140,134,114
"55",141,82,113
"56",142,82,121
"57",143,115,113
"58",145,45,119
"59",147,168,113
"60",152,33,121
"61",153,51,121
"62",154,58,119
"63",155,44,121
"64",162,41,121
"65",164,47,119
"66",165,67,119
"67",166,79,119
"68",167,21,121
"69",171,41,113
"70",172,72,119
"71",174,109,113
"72",177,117,113
"73",182,31,119
"74",184,200,105
"75",185,220,113
"76",190,92,116
"77",193,55,114
"78",194,61,118
"79",197,176,108
"80",202,89,118
"81",209,121,108
"82",258,136,119
"83",270,177,119
"84",300,49,123
"85",305,118,119
"86",321,249,112
"87",325,250,116
"88",328,241,116
"89",331,66,114
"90",332,112,114
"91",333,79,114
"92",336,68,114
"93",337,49,114
"94",338,42,120
"95",340,50,116
"96",344,207,113
"97",346,174,113
"98",347,137,115
"99",350,122,119
"100",356,100,121
"101",358,31,121
"102",359,99,113
"103",362,58,121
"104",363,46,121
"105",364,49,121
"106",366,135,119
"107",367,95,113
"108",369,100,113
"109",372,108,113
"110",373,33,121
"111",375,25,121
"112",376,131,119
"113",379,168,113
"114",380,108,119
"115",383,95,121
"116",385,87,119
"117",386,82,119
"118",387,73,119
"119",393,63,119
"120",394,125,119
"121",395,68,121
"122",396,76,119
"123",397,90,113
"124",398,79,123
"125",401,85,119
"126",403,150,113
"127",404,91,119
"128",407,45,121
"129",409,132,113
"130",415,83,123
"131",416,64,119
"132",418,261,113
"133",419,134,113
"134",423,136,119
"135",424,177,113
"136",429,122,113
"137",430,165,107
"138",432,128,113
"139",433,196,113
"140",434,140,113
"141",436,197,113
"142",438,87,119
"143",440,130,119
"144",444,88,119
"145",446,94,113
"146",447,118,113
"147",452,44,114
"148",453,325,114
"149",458,243,116
"150",461,101,116
"151",464,104,114
"152",465,52,114
"153",467,114,114
"154",468,82,114
"155",470,105,114
"156",472,93,116
"157",475,113,118
"158",480,280,114
"159",481,267,114
"160",484,29,118
"161",485,84,116
"162",488,52,114
"163",491,73,114
"164",492,36,122
"165",495,68,120
"166",498,89,114
"167",508,104,114
"168",510,116,114
"169",513,272,120
"170",515,199,114
"171",518,183,118
"172",520,163,114
"173",521,451,114
"174",522,111,116
"175",523,188,114
"176",524,193,114
"177",525,172,114
"178",526,107,118
"179",527,206,114
"180",528,172,116
"181",529,178,114
"182",530,130,116
"183",531,221,120
"184",532,69,118
"185",535,25,114
"186",541,74,114
"187",542,27,118
"188",543,65,114
"189",544,20,118
"190",545,22,122
"191",546,48,118
"192",551,94,114
"193",554,128,122
"194",558,250,118
"195",559,86,118
"196",560,57,114
"197",561,63,114
"198",570,181,114
"199",571,150,114
"200",573,370,116
"201",574,544,114
"202",575,491,116
"203",577,246,116
"204",579,66,118
"205",580,106,120
"206",581,138,120
"207",582,70,106
"208",583,111,118
"209",584,128,114
"210",585,247,114
"211",586,86,114
"212",590,511,114
"213",591,62,114
"214",593,108,114
"215",594,67,114
"216",595,50,124
"217",597,138,114
"218",598,137,116
"219",599,114,116
"220",600,147,116
"221",601,105,118
"222",602,149,114
"223",603,306,114
"224",604,478,114
"225",607,99,120
"226",613,140,115
"227",617,179,109
"228",621,37,127
"229",624,164,119
"230",638,152,121
"231",640,178,109
"232",644,211,119
"233",645,71,119
"234",646,62,121
"235",650,84,121
"236",654,57,121
"237",665,140,117
"238",666,105,117
"239",671,38,119
"240",677,51,121
"241",680,106,121
"242",690,128,113
"243",692,58,119
"244",693,64,115
"245",698,37,117
"246",700,66,115
"247",703,119,121
"248",709,104,113
"249",713,72,115
"250",722,55,115
"251",723,31,117
"252",724,124,115
"253",725,136,115
"254",727,73,127
"255",728,58,113
"256",729,58,115
"257",730,210,113
"258",733,102,115
"259",734,108,113
"260",735,149,113
"261",736,108,117
"262",738,85,113
"263",741,80,117
"264",742,111,113
"265",743,50,121
"266",744,107,117
"267",745,124,113
"268",749,64,113
"269",750,64,113
"270",752,400,113
"271",753,57,113
"272",755,113,113
"273",756,125,115
"274",757,55,123
"275",759,54,113
"276",761,147,113
"277",763,75,121
"278",767,94,113
"279",769,92,113
"280",770,138,113
"281",771,126,113
"282",772,133,113
"283",773,158,113
"284",774,158,113
"285",775,193,113
"286",776,107,113
"287",778,115,113
"288",779,88,113
"289",780,116,113
"290",782,79,113
"291",786,144,113
"292",787,40,117
"293",789,177,109
"294",791,390,113
"295",792,90,113
"296",795,144,113
"297",796,39,121
"298",797,420,115
"299",798,38,113
"300",800,178,113
"301",801,107,113
"302",802,41,119
"303",803,76,113
"304",804,99,113
"305",806,280,113
"306",807,61,117
"307",808,385,113
"308",809,120,113
"309",810,143,113
"310",812,201,109
"311",813,175,109
"312",817,295,113
"313",827,131,116
"314",828,59,114
"315",869,79,118
"316",870,38,118
"317",871,57,118
"318",872,130,114
"319",874,50,118
"320",875,83,122
"321",877,82,112
"322",878,120,112
"323",879,53,120
"324",883,66,112
"325",886,83,120
"326",889,425,112
"327",890,84,114
"328",891,68,118
"329",893,60,120
"330",896,216,112
"331",908,400,113
"332",911,167,109
"333",912,163,119
"334",913,208,109
"335",918,84,125
"336",919,109,115
"337",928,175,112
"338",930,98,114
"339",931,79,118
"340",932,68,118
"341",936,58,118
"342",938,103,122
"343",941,52,122
"344",944,203,118
"345",947,37,120
"346",948,93,120
"347",949,24,120
"348",952,162,118
"349",953,189,114
"350",956,363,116
"351",958,320,114
"352",970,249,119
"353",974,187,117
"354",983,100,119
"355",987,90,114
"356",991,160,116
"357",993,183,112
"358",994,82,122
"359",996,65,118
"360",1000,92,118
"361",1002,63,118
"362",1003,130,112
"363",1004,141,114
"364",1005,147,116
"365",1006,176,114
"366",1007,89,120
"367",1008,87,112
"368",1009,99,116
"369",1010,119,116
"370",1011,170,114
"371",1012,65,116
"372",1013,92,116
"373",1014,55,116
"374",1015,56,116
"375",1016,60,116
"376",1017,141,116
"377",1018,41,116
"378",1019,112,116
"379",1020,100,116
"380",1021,300,116
"381",1022,292,116
"382",1023,78,120
"383",1024,415,118
"384",1042,70,114
"385",1059,74,120
"386",1060,158,118
"387",1070,234,114
"388",1072,162,120
"389",1073,217,118
"390",1074,470,112
"391",1075,105,114
"392",1076,66,120
"393",1078,100,116
"394",1080,141,118
"395",1082,144,118
"396",1083,140,114
"397",1087,346,116
"398",1089,56,120
"399",1100,138,114
"400",1104,165,114
"401",1108,109,116
"402",1126,156,116
"403",1127,206,112
"404",1128,97,122
"405",1131,89,118
"406",1132,180,118
"407",1135,116,120
"408",1136,86,118
"409",1137,61,118
"410",1139,67,118
"411",1141,302,120
"412",1142,237,118
"413",1143,235,114
"414",1169,394,112
"415",1170,185,118
"416",1172,352,114
"417",1173,132,118
"418",1175,52,120
"419",1176,95,112
"420",1178,338,114
"421",1182,322,118
"422",1184,419,118
"423",1185,80,118
"424",1186,135,118
"425",1187,345,118
"426",1188,54,122
"427",1193,149,112
"428",1194,60,118
"429",1196,109,120
"430",1198,111,118
"431",1205,126,112
"432",1206,129,110
"433",1207,216,112
"434",1211,398,112
"435",1212,125,116
"436",1215,67,112
"437",1216,56,120
"438",1218,46,120
"439",1219,67,118
"440",1223,126,112
"441",1224,59,114
"442",1236,260,112
"443",1239,194,112
"444",1242,86,116
"445",1243,61,120
"446",1244,59,120
"447",1245,103,116
"448",1246,48,120
"449",1248,71,120
"450",1249,57,120
"451",1251,90,120
"452",1253,58,120
"453",1254,63,120
"454",1255,102,112
"455",1257,69,122
"456",1258,129,120
"457",1259,58,120
"458",1260,96,120
"459",1261,55,120
"460",1262,70,120
"461",1268,61,114
"462",1269,54,120
"463",1272,211,118
"464",1273,44,112
"465",1274,255,118
"466",1277,312,112
"467",1278,280,114
"468",1279,265,120
"469",1280,406,112
"470",1281,72,122
"471",1286,124,112
"472",1287,68,120
"473",1289,71,120
"474",1290,47,122
"475",1291,107,120
"476",1292,136,120
"477",1294,126,120
"478",1304,151,120
"479",1308,71,116
"480",1309,96,120
"481",1310,60,120
"482",1311,51,118
"483",1312,46,112
"484",1313,69,118
"485",1316,113,112
"486",1322,171,118
"487",1323,107,118
"488",1324,211,116
"489",1325,201,116
"490",1332,79,123
"491",1336,108,117
"492",1337,78,117
"493",1339,103,113
"494",1341,109,113
"495",1346,100,119
"496",1350,77,113
"497",1353,39,115
"498",1354,65,115
"499",1355,111,113
"500",1356,48,115
"501",1357,77,121
"502",1359,188,115
"503",1362,105,115
"504",1367,82,113
"505",1371,106,115
"506",1375,36,120
"507",1376,46,114
"508",1377,26,120
"509",1378,52,126
"510",1380,151,120
"511",1383,15,120
"512",1384,248,116
"513",1385,286,112
"514",1386,366,112
"515",1394,105,120
"516",1395,266,120
"517",1397,299,116
"518",1398,236,120
"519",1404,235,118
"520",1409,107,118
"521",1410,83,113
"522",1411,68,113
"523",1413,116,113
"524",1414,95,113
"525",1415,83,113
"526",1418,75,113
"527",1419,138,113
"528",1423,307,109
"529",1424,170,113
"530",1428,73,121
"531",1430,33,119
"532",1431,54,119
"533",1433,57,121
"534",1434,65,121
"535",1436,84,113
"536",1442,190,109
"537",1444,149,113
"538",1447,62,117
"539",1450,67,119
"540",1454,107,113
"541",1456,102,119
"542",1465,112,113
"543",1467,165,109
"544",1470,162,109
"545",1475,165,115
"546",1476,190,113
"547",1478,90,123
"548",1480,90,119
"549",1482,75,115
"550",1483,100,121
"551",1484,120,125
"552",1488,172,113
"553",1489,168,121
"554",1492,182,123
"555",1496,56,125
"556",1497,40,125
"557",1505,118,109
"558",1508,71,123
"559",1510,78,113
"560",1512,160,113
"561",1517,79,113
"562",1518,76,113
"563",1520,97,119
"564",1526,75,115
"565",1527,91,115
"566",1528,65,117
"567",1529,45,115
"568",1531,82,115
"569",1532,253,115
"570",1536,61,127
"571",1537,92,119
"572",1538,91,115
"573",1541,65,119
"574",1543,75,115
"575",1545,210,111
"576",1552,209,119
"577",1564,40,119
"578",1584,56,121
"579",1616,162,119
"580",1618,46,118
"581",1619,206,115
"582",1621,233,113
"583",1622,212,119
"584",1623,230,111
"585",1625,295,117
"586",1645,80,115
"587",1648,48,119
"588",1650,72,113
"589",1665,178,112
"590",1666,93,116
"591",1667,59,120
"592",1668,98,118
"593",1669,42,126
"594",1671,134,112
"595",1672,111,112
"596",1673,136,118
"597",1676,67,119
"598",1677,71,115
"599",1680,100,115
"600",1683,59,119
"601",1684,120,115
"602",1686,109,117
"603",1687,137,119
"604",1692,77,119
"605",1694,72,119
"606",1698,62,125
"607",1699,112,121
"608",1700,80,123
"609",1701,97,121
"610",1702,72,115
"611",1703,79,125
"612",1706,58,119
"613",1707,86,119
"614",1708,45,119
"615",1709,37,119
"616",1711,592,119
"617",1713,43,119
"618",1715,77,115
"619",1716,110,115
"620",1718,120,113
"621",1719,72,125
"622",1720,67,117
"623",1727,117,115
"624",1730,137,119
"625",1733,49,119
"626",1740,133,115
"627",1741,126,119
"628",1742,68,117
"629",1745,38,117
"630",1746,75,119
"631",1748,47,125
"632",1750,68,119
"633",1751,199,109
"634",1752,111,115
"635",1754,175,113
"636",1755,60,119
"637",1756,172,119
"638",1758,150,115
"639",1759,121,119
"640",1760,86,119
"641",1783,73,119
"642",1787,95,119
"643",1788,136,119
"644",1845,158,117
"645",1847,183,117
"646",1857,176,121
"647",1872,201,119
"648",1889,113,121
"649",1892,108,117
"650",1897,95,119
"651",1900,84,119
"652",1913,39,121
"653",1916,195,119
"654",1919,112,119
"655",1960,65,116
"656",1964,120,114
"657",1990,128,114
"658",1991,87,114
"659",1998,23,118
"660",2009,76,118
"661",2052,114,114
"662",2056,145,120
"663",2068,122,114
"664",2110,206,114
"665",2111,34,116
"666",2114,26,118
"667",2131,52,116
"668",2139,87,116
"669",2149,138,119
"670",2169,108,116
"671",2172,114,114
"672",2176,66,120
"673",2183,72,118
"674",2185,148,118
"675",2190,30,118
"676",2195,72,114
"677",2203,31,114
"678",2213,51,114
"679",2232,92,114
"680",2235,111,116
"681",2246,35,118
"682",2260,90,114
"683",2267,128,114
"684",2273,84,114
"685",2282,87,114
"686",2286,35,114
"687",2303,266,114
"688",2311,65,116
"689",2323,108,114
"690",2328,190,114
"691",2352,137,116
"692",2359,42,121
"693",2360,26,121
"694",2361,137,119
"695",2425,117,116
"696",2430,82,121
"697",2434,74,113
"698",2435,56,119
"699",2436,38,121
"700",2450,74,119
"701",2465,55,119
"702",2466,118,118
"703",2467,82,118
"704",2468,116,118
"705",2469,169,116
"706",2470,94,114
"707",2473,148,114
"708",2475,89,114
"709",2476,72,114
"710",2477,142,114
"711",2478,129,114
"712",2480,8,127
"713",2482,20,121
"714",2483,21,119
"715",2485,111,121
"716",2488,259,122
"717",2489,160,120
"718",2492,151,112
"719",2497,198,112
"720",2498,158,116
"721",2499,124,118
"722",2500,78,114
"723",2501,121,114
"724",2503,60,114
"725",2504,69,114
"726",2505,161,116
"727",2506,191,114
"728",2507,97,114
"729",2509,67,114
"730",2510,114,114
"731",2511,63,116
"732",2513,51,114
"733",2514,116,114
"734",2515,94,114
"735",2516,82,114
"736",2517,96,114
"737",2518,95,114
"738",2521,120,114
"739",2522,84,114
"740",2524,72,116
"741",2527,52,114
"742",2528,60,114
"743",2529,73,114
"744",2531,159,114
"745",2532,102,114
"746",2534,109,114
"747",2536,73,114
"748",2537,81,114
"749",2594,110,112
"750",2646,124,123
"751",2652,138,113
"752",2653,133,113
"753",2669,93,114
"754",2671,123,114
"755",2675,151,118
"756",2680,70,113
"757",2688,231,119
"758",2691,173,114
"759",2693,161,116
"760",2694,152,114
"761",2705,137,120
